created_at	comment_count	repost_count	text
2012-12-5 20:54:28	23	71	Evernote推出了Evernote Business工具，试图开拓中小企业市场。用户可以使用个人账号加入Evernote Business，而个人帐号中的内容对公司来说不可见。当用户离开公司时，仍可以保留自己的个人数据。Evernote CEO同时称，公司10亿用户的目标完全可以达到。http://t.cn/zjMIXn0
2012-12-5 14:41:19	50	61	【@诺基亚 Lumia920今日登陆中国 产地：北京亦庄】12月5日消息，诺基亚全球首款WP8手机Lumia920将登陆中国，首次选择与中国移动联合推出，这在渠道上是个很大改变。目前，该款手机全球脱销，对于中国市场，诺基亚表示供货全由北京亦庄某工厂来生产完成，货源不是问题。http://t.cn/zjMZMf4
2012-12-5 15:50:32	49	51	【快讯：新团宝今日上线 任春雷再推“云创业”】12月5日，主题为“新平台，云创业”的2012新团宝上线启动发布会在京举行，发布会现场，@团宝网 CEO任春雷详细介绍团宝新版本，展现团购新模式，并正式启动新团宝上线。@新团宝_任春雷 http://t.cn/zjMyzWB
2012-12-6 10:04:16	10	32	【Lumia920T到来后，苹果迎来今年最黯淡的一天】中国移动昨天正式发布了诺基亚Lumia920T，而诺基亚的股票在周三也高开高走，股价暴涨12.79%。而苹果股价周三再度下跌，收盘跌幅达到6%以上，苹果公司一天就损失了350亿美元。http://t.cn/zjMEbYT
2012-12-6 8:58:55	10	35	【苹果股价周三重挫6%：市值累计蒸发近1600亿美金】苹果股价周三再度下跌，收盘跌幅达到6%以上，自9月中旬以来公司市值已经蒸发五分之一。外界分析的最终原因可能为，苹果虽已利用iPad mini进入了小尺寸平板电脑市场，但IDC预计其核心iPad业务可能面临压力。http://t.cn/zjMHOTw
2012-12-6 11:51:12	15	16	【速途在线沙龙34期预告：从偶然走向常态的C2B】时间：2012年12月7日晚8点， YY房间号80153 ；主持人：速途网副总编辑@丁道师 ，参与嘉宾：电商观察家@黄嘉榔 ,潮汐SEO工作室黄泽楷;电商专家@苗玉瑞 ;锐马传播机构创始人张俊良；国人在线@网络营销_刘敏华 。[围观]详情进入：http://t.cn/zjM3xHu
2012-12-6 9:04:13	17	20	【速途头条】移动入股科大讯飞幕后 用语音盘活移动互联网：中国移动的内部人士表示，中国移动想通过科大讯飞这款应用作为入口级的产品，和9大基地的业务一一对接，把音乐、12580、导航、视频等业务一一对接，从而盘活中国移动的整个数据和业务。http://t.cn/zjMYdXz
2012-12-6 10:06:11	13	25	【团宝归来】已还清大半债务的团宝网CEO任春雷，以时下最流行的开放性平台方式归来，新团宝网强调云创业：不仅商家可自主发布团购项目，更鼓励个人帮助企业发布项目、或宣传推广团购项目获得收益。这到底是种新探索，还是空中楼阁——一个看上去很美，实现起来却很难的策略？http://t.cn/zjMQBmv
2012-12-5 11:33:57	42	101	【俄罗斯首富盯上中国电商】10亿美元“身价”的公司在硅谷已经越来越多，而过高的估价让Facebook、Groupon等科技公司的投资人、俄罗斯首富乌斯曼诺夫转向了新的目标-中国电商。其控股公司目前在阿里巴巴、京东均有股权，并希望从中国科技公司未来IPO浪潮中淘得一桶金。(@Meizha田)http://t.cn/zjIkAZ5
2012-12-4 7:44:12	239	415	【诺基亚在欧洲翻身？】等对手犯错就能转败为胜？国外媒体今天撰文称，虽然苹果iPhone的用户体验非常优秀，但由于无法兼容欧洲的多数LTE 4G网络，导致被很多潜在购买者排除在外。而高速LTE模块和Windows Phone 8系统是Lumia手机的两大卖点，诺基亚有望借此在欧洲市场实现复兴。http://t.cn/zjf6Dkq
